Model,AIC,BIC,Train_RMSE,Test_RMSE,Train_R2,Test_R2
ARIMA,6.0,11.736069016284437,250948.9727127251,538814.1458982663,-80037.02035539504,-149926255739.3944
AR1,128.5782979569309,134.31436697321536,0.8243537329451898,1.459358870027538,0.020557350368265892,-0.09982584530420713
DLM,527.2183029895652,531.0819542550139,168.94803894448856,2.217951873985824,0.9637229633188529,-1.540410819791734
